name,lat,long,link,stars
Chicas Tacos,34.0456597932,-118.256342201,https://www.yelp.com/biz/chicas-tacos-los-angeles?hrid=onffxHXKezg4g_xM2x-EHQ,3
Subway,40.8366258,-73.1564311,https://www.yelp.com/biz/subway-smithtown-3?hrid=SEnT4x9WiWQ27On0Ry24AQ,1
L.I. Pour House Bar and Grill,40.9274739249,-73.0503754246,https://www.yelp.com/biz/l-i-pour-house-bar-and-grill-port-jefferson-station?hrid=1UqqR7vkrYe375cJkpnH_A,4
You Me and Tea,40.9460648,-73.0694317,https://www.yelp.com/biz/you-me-and-tea-port-jefferson?hrid=Wx_I91u-13FlDBCV_Y9ufQ,4
St  James Bagels,40.8767763407,-73.1695770946,https://www.yelp.com/biz/st-james-bagels-saint-james?hrid=LsBs7ki93lyWQmj02jOgUw,5
Slurp Ramen,40.9462633,-73.0696078,https://www.yelp.com/biz/slurp-ramen-port-jefferson?hrid=T-vszBAng-GJmO2Bpap-BA,5
Buffalo Wild Wings,40.8572965,-73.0817601,https://www.yelp.com/biz/buffalo-wild-wings-centereach-2?hrid=40dSJMUoBGxj9Ix5ItrHKw,4
Pokéworks,40.7516259409,-73.9859783649,https://www.yelp.com/biz/pok%C3%A9works-new-york-2?hrid=GkwY3C2vkq5J9kBeedT4Qw,4
Le Cirque,40.761503381,-73.967436308,https://www.yelp.com/biz/le-cirque-new-york?hrid=z1VNvd7QqcixS8EpPNhr7g,4
Cookshop,40.745519,-74.0054833,https://www.yelp.com/biz/cookshop-new-york?hrid=9yM68ZhyKhI-bcNvSxxnzg,2
